Nom de la station,Code de la station
Adrar,1A
Chlef,2A
Laghouat,3A
AFLOU,3B
Ain mlila,4A
Batna,5A
Barika,5B
Bejaia,6A
Akbou,6B
Biskra,7A
Bechar,8A
Blida,9A
Boufarik,9B
Bouira,10A
Tamanrasset,11A
Tebessa,12A
Tlemcen,13A
Maghnia,13B
Tiaret,14A
Tizi Ouzou,15A
AZAZGA,15B
Bir Mourad rais,16A
BAB EZZOUAR,16B
Cheraga,16C
Reghaia,16D
Alger centre,16E
Baba Hassen,16F
Djelfa,17A
Jijel,18A
Setif,19A
El eulma,19B
Ain Oulmene,19C
Saida,20A
Skikda,21A
Sidi bel abbes,22A
Annaba,23A
Guelma,24A
Zouaghi,25A
Ali Mendjli,25B
Constantine,25C
Medea,26A
Mostaganem,27A
Msila,28A
BOUSAADA,28B
Mascara - mohamadia,29A
Mascara,29B
Ouargla,30A
Maraval,31A
Bir el djir,31B
Oran,31C
El bayadh,32A
Illizi,33A
Bordj Bou Arreridj,34A
Boumerdes,35A
Ouled Moussa,35B
El tarf,36A
Tindouf,37A
Tissemsilt,38A
El oued,39A
Khenchela,40A
Souk Ahras,41A
Tipaza,42A
Mila,43A
Chelghoum Laïd,43B
Ain defla,44A
Mechria,45A
Ain temouchent,46A
Ghardaia,47A
Relizane,48A
Timimoun,49A
Ouled Djellal,51A
Béni Abbés,52A
In Salah,53A
Touggourt,55A
El meniaa,58A